Variavel,Importancia
VAR_1,306
VAR_9,250
VAR_20,172
VAR_6,136
VAR_57,108
VAR_17,88
VAR_44,71
VAR_72,68
VAR_65,64
VAR_2,46
VAR_4,41
VAR_25,35
VAR_3,26
VAR_22,15
VAR_59,14
VAR_11,11
VAR_76,10
VAR_53,8
VAR_8,6
VAR_30,5
VAR_35,5
VAR_34,4
VAR_33,3
VAR_54,3
VAR_32,3
VAR_52,1
VAR_15,1
VAR_38,0
VAR_64,0
VAR_5,0
VAR_13,0
VAR_7,0
VAR_45,0
VAR_24,0
