Variavel,Importancia
VAR_1,0.1535854204624264
VAR_2,0.08987059260988861
VAR_4,0.08840578432118558
VAR_3,0.08611321012493313
VAR_20,0.06211030386735539
VAR_6,0.05627588006793863
VAR_9,0.05608885863462673
VAR_30,0.032117493486426854
VAR_60,0.025166704142867875
VAR_19,0.02303484427519726
VAR_53,0.022781770165829517
VAR_65,0.02225329838669422
VAR_72,0.02084602598919876
VAR_54,0.020212545881478538
VAR_17,0.019604673168560106
VAR_44,0.019130537570355505
VAR_33,0.018939582161336097
VAR_25,0.018428002317983395
VAR_76,0.01486098028207699
VAR_5,0.01218797618027301
VAR_32,0.01216573996886717
VAR_34,0.012046228126095291
VAR_59,0.011946138346099722
VAR_24,0.010555008478665983
VAR_64,0.010154608087577661
VAR_11,0.00978512356283112
VAR_45,0.009608008711492234
VAR_52,0.009304152779832356
VAR_38,0.009298713733781428
VAR_8,0.00916860094054955
VAR_35,0.00899736912766001
VAR_13,0.008930516756610267
VAR_7,0.008359361145668648
VAR_15,0.007665946137636038
