Variavel,Importancia
VAR_1,71
VAR_9,62
VAR_19,56
VAR_45,48
VAR_59,38
VAR_20,31
VAR_65,31
VAR_24,28
VAR_28,27
VAR_15,25
VAR_54,22
VAR_44,22
VAR_53,19
VAR_17,18
VAR_30,18
VAR_32,17
VAR_38,17
VAR_6,17
VAR_33,15
VAR_34,13
VAR_39,13
VAR_60,12
VAR_2,12
VAR_57,11
VAR_25,9
VAR_40,8
VAR_5,7
VAR_11,6
VAR_72,6
VAR_8,3
VAR_3,1
VAR_52,1
VAR_58,0
VAR_13,0
